Dato,Temperatur (°C),Lufttrykk (hPa),Nedbør (mm),Relativ fuktighet (%),Skydekke (oktas)
2023-01-01,1.1,1005.7,0.0,69,3.0
2023-01-02,-2.7,1010.8,0.6,83,7.0
2023-01-03,-5.8,1019.6,0.0,85,1.0
2023-01-04,-7.9,1008.7,0.9,87,8.0
2023-01-05,-3.9,1015.3,19.8,81,8.0
2023-01-06,-4.1,1012.5,2.9,87,8.0
2023-01-07,-3.2,1006.7,7.0,96,8.0
2023-01-08,1.4,995.9,9.1,98,7.7
2023-01-09,4.4,995.7,11.2,95,8.0
2023-01-10,2.6,1002.8,4.6,99,8.0
2023-01-11,1.3,991.1,7.7,93,6.7
2023-01-12,3.7,990.9,0.8,94,7.3
2023-01-13,2.8,988.3,6.6,96,8.0
2023-01-14,2.5,993.6,6.2,96,8.0
2023-01-15,0.8,974.1,9.4,96,8.0
2023-01-16,-0.6,983.4,1.8,93,5.3
2023-01-17,-0.7,982.3,2.7,92,8.0
2023-01-18,1.2,986.2,5.6,96,8.0
2023-01-19,0.4,998.9,2.3,95,8.0
2023-01-20,-1.5,1017.7,1.0,83,3.0
2023-01-21,-5.8,1036.7,0.0,88,5.7
2023-01-22,-10.9,1039.4,0.0,92,8.0
2023-01-23,-7.4,1035.8,0.2,88,8.0
2023-01-24,-2.2,1029.7,0.1,96,8.0
2023-01-25,1.4,1017.4,0.0,99,7.7
2023-01-26,2.4,1025.6,0.0,82,0.7
2023-01-27,-0.6,1027.1,0.0,88,5.3
2023-01-28,-3.6,1016.4,0.0,90,5.0
2023-01-29,-1.9,999.1,0.0,83,7.0
2023-01-30,2.8,989.6,0.0,51,1.3
2023-01-31,2.4,996.3,0.0,75,5.3
2023-02-01,-1.2,995.3,0.4,82,6.3
2023-02-02,-3.9,1013.8,0.0,76,2.7
2023-02-03,-4.1,1016.0,0.6,79,7.7
2023-02-04,-4.0,1036.6,0.3,86,6.0
2023-02-05,-3.0,1033.3,4.8,98,7.3
2023-02-06,-1.9,1036.5,0.2,98,8.0
2023-02-07,-2.2,1031.6,0.0,100,8.0
2023-02-08,-1.0,1027.0,0.0,98,8.0
2023-02-09,2.2,1009.2,0.0,70,6.0
2023-02-10,2.5,1012.9,0.1,65,5.7
2023-02-11,1.5,1016.2,0.2,75,6.0
2023-02-12,0.9,1025.6,0.0,84,7.0
2023-02-13,2.7,1028.5,0.0,71,4.7
2023-02-14,2.7,1030.9,0.0,94,5.3
2023-02-15,-0.3,1021.2,0.0,97,8.0
2023-02-16,0.8,1010.7,0.5,95,7.3
2023-02-17,2.2,991.8,1.8,91,8.0
2023-02-18,3.2,1001.9,12.8,52,1.0
2023-02-19,1.4,1009.2,0.0,60,2.3
2023-02-20,0.2,989.7,8.2,75,3.7
2023-02-21,4.7,1008.3,0.0,54,2.7
2023-02-22,1.2,1015.7,0.2,80,8.0
2023-02-23,0.3,1007.7,9.9,87,5.0
2023-02-24,0.6,998.2,6.0,78,5.7
2023-02-25,0.1,1012.1,0.0,54,1.0
2023-02-26,0.6,1024.4,0.0,60,6.7
2023-02-27,0.5,1030.0,0.0,68,3.0
2023-02-28,2.2,1030.9,0.0,66,2.7
2023-03-01,2.9,1030.7,0.0,64,1.3
2023-03-02,2.2,1024.7,0.0,64,3.3
2023-03-03,1.2,1015.2,0.0,57,5.7
2023-03-04,2.4,1014.4,0.0,37,5.0
2023-03-05,-1.5,1006.0,0.0,46,1.7
2023-03-06,-1.0,999.7,0.0,55,1.3
2023-03-07,-4.0,991.6,0.0,55,5.7
2023-03-08,-5.4,992.5,0.0,51,2.7
2023-03-09,-3.9,994.9,1.1,55,2.3
2023-03-10,-5.9,999.3,0.0,55,4.0
2023-03-11,-5.5,998.0,0.0,54,3.3
2023-03-12,-3.9,1001.2,0.0,50,5.3
2023-03-13,-1.4,979.7,2.6,93,8.0
2023-03-14,-2.0,982.7,12.8,74,6.7
2023-03-15,-2.1,1003.3,0.0,59,1.0
2023-03-16,-1.4,1017.1,0.0,66,5.0
2023-03-17,0.6,1006.4,5.8,97,8.0
2023-03-18,2.1,1007.8,13.1,87,6.7
2023-03-19,3.7,1011.9,0.1,89,8.0
2023-03-20,3.4,1008.5,1.2,84,4.7
2023-03-21,2.5,1009.2,0.0,92,8.0
2023-03-22,1.5,993.8,5.8,99,7.7
2023-03-23,3.1,990.7,7.0,97,7.7
2023-03-24,3.9,988.1,5.1,96,8.0
2023-03-25,3.5,992.9,7.2,86,8.0
2023-03-26,0.5,1003.8,1.4,61,4.7
2023-03-27,-2.8,1011.5,0.0,51,3.0
2023-03-28,-2.9,1017.3,0.0,55,5.0
2023-03-29,-0.2,1012.9,9.4,78,5.0
2023-03-30,-1.7,1008.4,0.0,76,7.0
2023-03-31,-1.1,1006.2,0.0,49,5.0
2023-04-01,1.2,1016.1,0.0,39,0.3
2023-04-02,1.6,1030.2,1.0,47,0.7
2023-04-03,2.7,1034.2,0.0,69,6.3
2023-04-04,2.4,1028.7,0.0,55,4.3
2023-04-05,4.3,1024.3,0.0,53,3.3
2023-04-06,5.9,1023.5,0.1,80,8.0
2023-04-07,1.3,1028.9,1.4,81,4.7
2023-04-08,3.0,1032.0,0.0,60,5.3
2023-04-09,7.5,1029.1,0.0,51,6.0
2023-04-10,7.2,1020.3,1.4,71,8.0
2023-04-11,6.3,1004.9,1.6,85,7.7
2023-04-12,5.5,1006.1,6.3,78,7.0
2023-04-13,7.8,1006.3,4.0,84,8.0
2023-04-14,8.0,1016.7,4.0,88,8.0
2023-04-15,3.6,1023.0,22.0,85,8.0
2023-04-16,5.2,1027.4,3.1,73,7.3
2023-04-17,6.4,1033.4,0.0,63,3.3
2023-04-18,9.3,1038.5,0.0,49,4.7
2023-04-19,10.4,1036.6,0.0,42,0.7
2023-04-20,11.7,1031.5,0.0,41,2.3
2023-04-21,11.9,1024.0,0.0,51,0.3
2023-04-22,11.6,1011.6,0.0,53,2.3
2023-04-23,12.3,1002.1,4.6,87,8.0
2023-04-24,5.3,1000.9,6.6,92,8.0
2023-04-25,2.6,999.9,34.5,88,7.7
2023-04-26,2.3,1003.9,8.2,70,6.3
2023-04-27,2.9,1009.6,0.2,55,6.0
2023-04-28,5.3,1015.4,0.0,49,5.0
2023-04-29,6.2,1009.3,0.0,56,5.3
2023-04-30,5.6,1015.1,0.7,42,3.3
2023-05-01,7.0,1010.2,0.5,77,7.7
2023-05-02,3.3,1015.9,3.4,52,3.0
2023-05-03,7.5,1025.3,0.0,51,4.7
2023-05-04,7.5,1030.6,0.0,40,4.3
2023-05-05,5.9,1030.1,0.0,36,1.3
2023-05-06,7.3,1028.1,0.0,45,2.0
2023-05-07,7.4,1027.8,0.0,50,1.3
2023-05-08,8.7,1026.7,0.0,54,5.0
2023-05-09,11.2,1018.2,0.0,58,7.0
2023-05-10,11.6,1014.6,0.0,52,5.3
2023-05-11,14.0,1019.3,0.0,61,7.7
2023-05-12,11.7,1024.2,0.0,63,4.7
2023-05-13,16.1,1024.4,0.0,60,4.7
2023-05-14,15.5,1020.3,0.0,55,2.3
2023-05-15,15.8,1012.3,0.0,62,6.7
2023-05-16,15.1,1006.5,0.3,71,7.3
2023-05-17,11.1,1014.3,5.6,39,3.3
2023-05-18,9.8,1025.8,0.0,47,1.3
2023-05-19,11.3,1028.9,0.0,78,4.3
2023-05-20,12.3,1029.3,0.0,66,4.0
2023-05-21,14.2,1025.0,0.0,48,2.3
2023-05-22,17.2,1019.8,0.0,58,5.7
2023-05-23,17.8,1013.8,2.1,87,7.3
2023-05-24,12.8,1015.9,4.3,63,4.0
2023-05-25,14.2,1019.8,0.0,46,2.3
2023-05-26,12.2,1023.1,0.0,44,1.3
2023-05-27,12.3,1020.3,0.0,66,6.7
2023-05-28,12.4,1015.9,0.8,51,2.3
2023-05-29,12.0,1021.1,0.0,48,6.0
2023-05-30,12.8,1023.7,0.0,56,1.3
2023-05-31,15.1,1017.7,0.0,48,3.3
2023-06-01,16.6,1019.6,0.0,40,3.0
2023-06-02,11.9,1023.7,0.0,45,1.7
2023-06-03,12.9,1020.1,0.0,58,6.3
2023-06-04,14.7,1020.9,0.0,48,2.7
2023-06-05,16.3,1018.7,0.0,62,0.7
2023-06-06,17.0,1017.8,0.0,54,1.0
2023-06-07,18.3,1018.3,0.0,45,0.7
2023-06-08,18.3,1018.8,0.0,43,0.7
2023-06-09,17.4,1024.1,0.0,38,1.0
2023-06-10,17.0,1026.9,0.0,35,2.3
2023-06-11,17.5,1025.9,0.0,45,1.3
2023-06-12,17.2,1023.2,0.0,44,3.3
2023-06-13,19.8,1020.7,0.0,47,6.0
