Dato,Skydekke (oktas)
2023-01-01,3.0
2023-01-02,7.0
2023-01-03,1.0
2023-01-04,8.0
2023-01-05,8.0
2023-01-06,8.0
2023-01-07,8.0
2023-01-08,7.7
2023-01-09,8.0
2023-01-10,8.0
2023-01-11,6.7
2023-01-12,7.3
2023-01-13,8.0
2023-01-14,8.0
2023-01-15,8.0
2023-01-16,5.3
2023-01-17,8.0
2023-01-18,8.0
2023-01-19,8.0
2023-01-20,3.0
2023-01-21,5.7
2023-01-22,8.0
2023-01-23,8.0
2023-01-24,8.0
2023-01-25,7.7
2023-01-26,0.7
2023-01-27,5.3
2023-01-28,5.0
2023-01-29,7.0
2023-01-30,1.3
2023-01-31,5.3
2023-02-01,6.3
2023-02-02,2.7
2023-02-03,7.7
2023-02-04,6.0
2023-02-05,7.3
2023-02-06,8.0
2023-02-07,8.0
2023-02-08,8.0
2023-02-09,6.0
2023-02-10,5.7
2023-02-11,6.0
2023-02-12,7.0
2023-02-13,4.7
2023-02-14,5.3
2023-02-15,8.0
2023-02-16,7.3
2023-02-17,8.0
2023-02-18,1.0
2023-02-19,2.3
2023-02-20,3.7
2023-02-21,2.7
2023-02-22,8.0
2023-02-23,5.0
2023-02-24,5.7
2023-02-25,1.0
2023-02-26,6.7
2023-02-27,3.0
2023-02-28,2.7
2023-03-01,1.3
2023-03-02,3.3
2023-03-03,5.7
2023-03-04,5.0
2023-03-05,1.7
2023-03-06,1.3
2023-03-07,5.7
2023-03-08,2.7
2023-03-09,2.3
2023-03-10,4.0
2023-03-11,3.3
2023-03-12,5.3
2023-03-13,8.0
2023-03-14,6.7
2023-03-15,1.0
2023-03-16,5.0
2023-03-17,8.0
2023-03-18,6.7
2023-03-19,8.0
2023-03-20,4.7
2023-03-21,8.0
2023-03-22,7.7
2023-03-23,7.7
2023-03-24,8.0
2023-03-25,8.0
2023-03-26,4.7
2023-03-27,3.0
2023-03-28,5.0
2023-03-29,5.0
2023-03-30,7.0
2023-03-31,5.0
2023-04-01,0.3
2023-04-02,0.7
2023-04-03,6.3
2023-04-04,4.3
2023-04-05,3.3
2023-04-06,8.0
2023-04-07,4.7
2023-04-08,5.3
2023-04-09,6.0
2023-04-10,8.0
2023-04-11,7.7
2023-04-12,7.0
2023-04-13,8.0
2023-04-14,8.0
2023-04-15,8.0
2023-04-16,7.3
2023-04-17,3.3
2023-04-18,4.7
2023-04-19,0.7
2023-04-20,2.3
2023-04-21,0.3
2023-04-22,2.3
2023-04-23,8.0
2023-04-24,8.0
2023-04-25,7.7
2023-04-26,6.3
2023-04-27,6.0
2023-04-28,5.0
2023-04-29,5.3
2023-04-30,3.3
2023-05-01,7.7
2023-05-02,3.0
2023-05-03,4.7
2023-05-04,4.3
2023-05-05,1.3
2023-05-06,2.0
2023-05-07,1.3
2023-05-08,5.0
2023-05-09,7.0
2023-05-10,5.3
2023-05-11,7.7
2023-05-12,4.7
