date,pm2_5,pm10,no2,o3
2023-01-01,0.8,1.24,2.32,70.21
2023-01-02,1.83,2.75,4.75,59.55
2023-01-03,2.16,3.16,5.75,54.33
2023-01-04,0.5,0.57,0.68,75.07
2023-01-05,0.5,0.53,0.53,71.79
2023-01-06,0.5,0.52,1.44,60.8
2023-01-07,0.51,0.62,1.61,55.3
2023-01-08,0.5,0.56,2.62,45.07
2023-01-09,0.5,0.58,1.46,54.42
2023-01-10,0.74,1.0,2.97,35.63
2023-01-11,0.5,0.57,1.73,55.97
2023-01-12,0.97,1.88,3.04,41.13
2023-01-13,2.15,3.26,6.24,36.46
2023-01-14,0.82,1.25,2.52,45.84
2023-01-15,0.71,0.88,1.6,45.34
2023-01-16,1.05,1.53,3.86,36.51
2023-01-17,0.5,0.58,1.24,62.88
2023-01-18,0.96,1.66,3.04,32.19
2023-01-19,1.47,2.38,4.48,39.2
2023-01-20,0.68,1.1,2.51,50.84
2023-01-21,0.88,1.4,2.1,47.41
2023-01-22,0.78,1.15,2.24,63.6
2023-01-23,0.96,1.41,3.04,58.29
2023-01-24,0.5,0.99,1.91,45.78
2023-01-25,0.79,0.99,1.32,58.71
2023-01-26,0.65,1.09,1.8,65.27
2023-01-27,0.62,1.19,2.14,56.27
2023-01-28,0.7,1.09,0.66,75.13
2023-01-29,0.5,0.57,0.83,69.56
2023-01-30,0.52,0.98,0.74,72.96
2023-01-31,1.15,1.73,3.03,56.94
2023-02-01,2.4,3.5,6.82,40.47
2023-02-02,1.06,1.7,3.85,55.6
2023-02-03,0.88,1.21,2.52,64.09
2023-02-04,0.6,0.87,2.17,56.12
2023-02-05,0.5,0.79,1.44,60.8
2023-02-06,0.77,1.22,3.07,56.16
2023-02-07,1.13,1.7,3.95,51.84
2023-02-08,0.5,0.67,1.0,81.15
2023-02-09,0.51,0.66,1.27,77.25
2023-02-10,0.66,1.0,1.39,73.7
2023-02-11,0.61,0.78,0.93,75.82
2023-02-12,1.2,1.3,1.05,77.72
2023-02-13,1.58,1.89,1.39,75.43
2023-02-14,2.46,3.53,5.92,41.81
2023-02-15,1.76,2.48,4.03,47.1
2023-02-16,0.73,1.11,2.12,69.47
