Dato,Temperatur (°C),Temperatur (°C) daglig snitt,Lufttrykk (hPa),Nedbør (mm)
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.7,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.5,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.7,10.39375,1003.0,8.0
2024-07-01,10.6,10.39375,1003.0,8.0
2024-07-01,10.7,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.4,10.39375,1003.0,8.0
2024-07-01,11.6,10.39375,1003.0,8.0
2024-07-01,11.8,10.39375,1003.0,8.0
2024-07-01,11.8,10.39375,1003.0,8.0
2024-07-01,11.9,10.39375,1003.0,8.0
2024-07-01,11.9,10.39375,1003.0,8.0
2024-07-01,11.9,10.39375,1003.0,8.0
2024-07-01,12.3,10.39375,1003.0,8.0
2024-07-01,12.4,10.39375,1003.0,8.0
2024-07-01,12.5,10.39375,1003.0,8.0
2024-07-01,12.4,10.39375,1003.0,8.0
2024-07-01,11.7,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.5,10.39375,1003.0,8.0
2024-07-01,10.3,10.39375,1003.0,8.0
2024-07-01,10.4,10.39375,1003.0,8.0
2024-07-01,10.2,10.39375,1003.0,8.0
2024-07-01,10.2,10.39375,1003.0,8.0
