Dato,Lufttrykk (hPa)
2023-07-01,998.7
2023-07-02,990.2
2023-07-03,988.5
2023-07-04,997.8
2023-07-05,1008.8
2023-07-06,1009.4
2023-07-07,1017.7
2023-07-08,1024.3
2023-07-09,1021.9
2023-07-10,1014.7
2023-07-11,1008.4
2023-07-12,1001.3
2023-07-13,1001.7
2023-07-14,1010.3
2023-07-15,1007.2
2023-07-16,994.3
2023-07-17,997.3
2023-07-18,1004.5
2023-07-19,1003.2
2023-07-20,1003.5
2023-07-21,1004.8
2023-07-22,1005.6
2023-07-23,1006.1
2023-07-24,1001.8
2023-07-25,997.0
2023-07-26,998.6
2023-07-27,1001.2
2023-07-28,1004.2
2023-07-29,1003.2
2023-07-30,999.9
2023-07-31,1000.9
2023-08-01,995.7
2023-08-02,993.9
2023-08-03,996.8
2023-08-04,1006.0
2023-08-05,1011.4
2023-08-06,1013.5
2023-08-07,1005.2
2023-08-08,989.2
2023-08-09,998.8
2023-08-10,1012.6
2023-08-11,1014.7
2023-08-12,1010.3
2023-08-13,1008.5
2023-08-14,1010.5
2023-08-15,1012.4
2023-08-16,1016.8
2023-08-17,1027.5
2023-08-18,1027.7
2023-08-19,1022.2
2023-08-20,1016.1
2023-08-21,1015.0
2023-08-22,1014.2
2023-08-23,1011.5
2023-08-24,1015.2
2023-08-25,1011.3
2023-08-26,1010.5
2023-08-27,1002.6
2023-08-28,1003.0
2023-08-29,1006.2
2023-08-30,1006.3
2023-08-31,1009.1
2023-09-01,1013.2
2023-09-02,1017.4
2023-09-03,1013.5
2023-09-04,1014.1
2023-09-05,1018.8
2023-09-06,1024.7
2023-09-07,1022.4
2023-09-08,1017.7
2023-09-09,1011.6
2023-09-10,1013.9
2023-09-11,1004.0
2023-09-12,1008.4
2023-09-13,1019.4
2023-09-14,1018.2
2023-09-15,1013.8
2023-09-16,1017.9
2023-09-17,1020.9
2023-09-18,1006.8
2023-09-19,986.1
2023-09-20,988.7
2023-09-21,992.1
2023-09-22,995.5
2023-09-23,1000.6
2023-09-24,1012.5
2023-09-25,1007.3
2023-09-26,1014.9
2023-09-27,1012.8
2023-09-28,1007.4
2023-09-29,1003.3
2023-09-30,1005.9
2023-10-01,1013.3
2023-10-02,1007.8
2023-10-03,999.7
2023-10-04,1002.1
2023-10-05,1012.5
2023-10-06,1002.3
2023-10-07,1012.2
2023-10-08,1020.4
2023-10-09,1012.5
2023-10-10,997.5
2023-10-11,980.9
2023-10-12,991.4
2023-10-13,988.5
2023-10-14,976.8
2023-10-15,1000.3
2023-10-16,1008.9
2023-10-17,1007.4
2023-10-18,1020.0
2023-10-19,1022.0
2023-10-20,1024.0
2023-10-21,1017.6
2023-10-22,1006.8
2023-10-23,1010.9
2023-10-24,1015.1
2023-10-25,1011.0
2023-10-26,1007.2
2023-10-27,1006.7
2023-10-28,1007.8
2023-10-29,1006.1
2023-10-30,1005.6
2023-10-31,1009.9
2023-11-01,1005.3
2023-11-02,997.9
2023-11-03,995.8
2023-11-04,986.0
2023-11-05,983.1
2023-11-06,991.3
2023-11-07,999.4
2023-11-08,1001.9
2023-11-09,999.0
2023-11-10,1001.2
2023-11-11,1008.0
2023-11-12,1010.9
2023-11-13,1008.6
2023-11-14,1007.2
2023-11-15,1014.8
2023-11-16,1017.7
2023-11-17,1021.5
2023-11-18,1021.0
2023-11-19,1009.6
2023-11-20,1016.4
2023-11-21,1023.2
2023-11-22,995.5
2023-11-23,982.6
2023-11-24,995.7
2023-11-25,1010.8
2023-11-26,1013.7
2023-11-27,1020.5
2023-11-28,1018.1
2023-11-29,1014.6
2023-11-30,1013.6
2023-12-01,1013.7
2023-12-02,1015.0
2023-12-03,1018.6
2023-12-04,1018.8
2023-12-05,1018.2
2023-12-06,1021.0
2023-12-07,1023.7
2023-12-08,1019.2
2023-12-09,1009.9
2023-12-10,1006.6
2023-12-11,1008.1
2023-12-12,1011.8
2023-12-13,1013.1
2023-12-14,1012.6
2023-12-15,1012.3
2023-12-16,1002.5
2023-12-17,1004.9
2023-12-18,999.8
2023-12-19,990.7
2023-12-20,988.6
2023-12-21,972.8
2023-12-22,983.7
2023-12-23,992.6
2023-12-24,983.7
2023-12-25,981.1
2023-12-26,993.2
2023-12-27,1012.2
2023-12-28,995.2
2023-12-29,988.7
2023-12-30,1001.5
2023-12-31,1010.1
2024-01-01,1012.6
2024-01-02,1012.6
2024-01-03,1009.2
2024-01-04,1010.2
2024-01-05,1013.5
2024-01-06,1022.2
2024-01-07,1031.7
2024-01-08,1035.5
2024-01-09,1036.0
2024-01-10,1033.0
2024-01-11,1030.5
2024-01-12,1018.3
2024-01-13,997.3
2024-01-14,992.6
2024-01-15,995.9
2024-01-16,990.9
2024-01-17,986.2
2024-01-18,988.4
2024-01-19,996.8
2024-01-20,1007.3
2024-01-21,993.7
2024-01-22,965.5
2024-01-23,988.9
2024-01-24,985.4
2024-01-25,1013.2
2024-01-26,1000.8
2024-01-27,1006.6
2024-01-28,1004.8
2024-01-29,1010.4
2024-01-30,1018.4
2024-01-31,992.2
2024-02-01,993.5
2024-02-02,990.8
2024-02-03,983.3
2024-02-04,986.9
2024-02-05,995.9
2024-02-06,995.7
2024-02-07,995.1
2024-02-08,996.8
2024-02-09,1004.3
2024-02-10,1007.9
2024-02-11,1004.6
2024-02-12,1005.2
2024-02-13,1004.7
2024-02-14,1006.3
2024-02-15,1012.8
2024-02-16,1006.2
2024-02-17,1023.5
2024-02-18,1021.2
2024-02-19,1013.9
2024-02-20,1006.2
2024-02-21,998.7
2024-02-22,981.7
2024-02-23,971.0
2024-02-24,988.0
2024-02-25,996.3
2024-02-26,1010.8
2024-02-27,1005.2
2024-02-28,1001.0
2024-02-29,994.0
2024-03-01,1001.0
2024-03-02,1010.7
2024-03-03,1016.3
2024-03-04,1022.3
2024-03-05,1028.7
2024-03-06,1030.7
2024-03-07,1033.2
2024-03-08,1027.8
2024-03-09,1020.9
2024-03-10,1020.6
2024-03-11,1019.2
2024-03-12,1014.5
2024-03-13,1000.7
2024-03-14,988.2
2024-03-15,998.7
2024-03-16,1014.4
2024-03-17,1021.1
2024-03-18,1015.6
2024-03-19,1010.4
2024-03-20,1014.9
2024-03-21,1008.4
2024-03-22,991.5
2024-03-23,990.4
2024-03-24,999.9
2024-03-25,1003.8
2024-03-26,1001.7
2024-03-27,994.7
2024-03-28,991.9
2024-03-29,988.5
2024-03-30,997.7
2024-03-31,1001.0
2024-04-01,1006.7
2024-04-02,1012.5
2024-04-03,1015.4
2024-04-04,1009.8
2024-04-05,1004.6
2024-04-06,1004.9
2024-04-07,992.2
2024-04-08,1000.1
2024-04-09,1004.3
2024-04-10,1000.0
2024-04-11,1006.4
2024-04-12,1008.6
2024-04-13,1001.0
2024-04-14,999.8
2024-04-15,1005.3
2024-04-16,1006.3
2024-04-17,1013.3
2024-04-18,1012.1
2024-04-19,1008.5
2024-04-20,1020.0
2024-04-21,1031.6
2024-04-22,1025.0
2024-04-23,1015.7
2024-04-24,1011.0
2024-04-25,1006.1
2024-04-26,1009.6
2024-04-27,1014.7
2024-04-28,1016.2
2024-04-29,1012.7
2024-04-30,1024.1
2024-05-01,1024.3
2024-05-02,1021.4
2024-05-03,1018.3
2024-05-04,1014.3
2024-05-05,1009.1
2024-05-06,1011.1
2024-05-07,1019.8
2024-05-08,1023.6
2024-05-09,1017.0
2024-05-10,1024.0
2024-05-11,1023.3
2024-05-12,1021.6
2024-05-13,1016.5
2024-05-14,1013.7
2024-05-15,1016.8
2024-05-16,1018.9
2024-05-17,1017.1
2024-05-18,1014.1
2024-05-19,1017.7
2024-05-20,1021.4
2024-05-21,1020.3
2024-05-22,1017.7
2024-05-23,1016.6
2024-05-24,1019.3
2024-05-25,1022.7
2024-05-26,1020.1
2024-05-27,1013.0
2024-05-28,1012.6
2024-05-29,1008.0
2024-05-30,1010.6
2024-05-31,1017.5
2024-06-01,1022.1
2024-06-02,1016.5
2024-06-03,1005.3
2024-06-04,999.2
2024-06-05,997.2
2024-06-06,1004.2
2024-06-07,1007.0
2024-06-08,1000.1
2024-06-09,990.4
2024-06-10,996.4
2024-06-11,1006.2
2024-06-12,1009.9
2024-06-13,1008.9
2024-06-14,1009.4
2024-06-15,1007.3
2024-06-16,1005.4
2024-06-17,1008.2
2024-06-18,1006.4
2024-06-19,1010.7
2024-06-20,1008.5
2024-06-21,1014.0
2024-06-22,1008.8
2024-06-23,1010.5
2024-06-24,1017.0
2024-06-25,1016.3
2024-06-26,1017.7
2024-06-27,1007.7
2024-06-28,1000.1
2024-06-29,1003.7
2024-06-30,1005.0
2024-07-01,1003.0
2024-07-02,1002.9
2024-07-03,1000.5
2024-07-04,993.2
2024-07-05,991.8
2024-07-06,995.7
2024-07-07,995.1
2024-07-08,1011.0
2024-07-09,1020.7
2024-07-10,1017.1
2024-07-11,1011.8
2024-07-12,1016.6
2024-07-13,1015.8
2024-07-14,1010.7
2024-07-15,1006.6
2024-07-16,1010.5
2024-07-17,1012.0
2024-07-18,1018.0
2024-07-19,1019.5
2024-07-20,1013.7
2024-07-21,1006.9
2024-07-22,1010.1
2024-07-23,1014.9
2024-07-24,1017.4
2024-07-25,1008.8
2024-07-26,1003.3
2024-07-27,1010.4
2024-07-28,1017.8
2024-07-29,1020.9
2024-07-30,1012.8
2024-07-31,1013.5
2024-08-01,1014.9
2024-08-02,1013.5
2024-08-03,1006.8
2024-08-04,1007.2
2024-08-05,1010.2
2024-08-06,1008.7
2024-08-07,1005.4
2024-08-08,1003.7
2024-08-09,998.0
2024-08-10,996.9
2024-08-11,1008.7
2024-08-12,1016.6
2024-08-13,1010.8
2024-08-14,1009.6
2024-08-15,1002.5
2024-08-16,1003.2
2024-08-17,1002.3
2024-08-18,1002.2
2024-08-19,1007.7
2024-08-20,1002.8
2024-08-21,1001.9
2024-08-22,993.3
2024-08-23,990.7
2024-08-24,998.0
2024-08-25,997.2
2024-08-26,1003.7
2024-08-27,1013.8
2024-08-28,1014.9
2024-08-29,1011.0
2024-08-30,1014.1
2024-08-31,1027.4
2024-09-01,1028.3
2024-09-02,1018.9
2024-09-03,1012.9
2024-09-04,1020.6
2024-09-05,1027.8
2024-09-06,1024.1
2024-09-07,1019.4
2024-09-08,1009.9
2024-09-09,997.1
2024-09-10,991.5
2024-09-11,986.3
2024-09-12,998.7
2024-09-13,1017.8
2024-09-14,1023.3
2024-09-15,1018.1
2024-09-16,1024.6
2024-09-17,1029.7
2024-09-18,1033.8
2024-09-19,1032.1
2024-09-20,1032.3
2024-09-21,1031.1
2024-09-22,1020.6
2024-09-23,1008.8
2024-09-24,1003.2
2024-09-25,992.4
2024-09-26,994.9
2024-09-27,994.0
2024-09-28,1001.3
2024-09-29,1017.2
2024-09-30,1020.8
2024-10-01,1023.5
2024-10-02,1021.9
2024-10-03,1021.8
2024-10-04,1019.5
2024-10-05,1013.4
2024-10-06,1009.4
2024-10-07,1007.5
2024-10-08,1001.4
2024-10-09,991.3
2024-10-10,993.5
2024-10-11,997.9
2024-10-12,1004.8
2024-10-13,1004.9
2024-10-14,1015.2
2024-10-15,1018.4
2024-10-16,1016.9
2024-10-17,1007.9
2024-10-18,1011.0
2024-10-19,1011.1
2024-10-20,1005.9
2024-10-21,993.5
2024-10-22,1003.8
2024-10-23,1010.9
2024-10-24,1014.9
2024-10-25,1014.5
2024-10-26,1011.0
2024-10-27,1001.2
2024-10-28,1012.0
2024-10-29,1009.1
2024-10-30,1009.6
2024-10-31,1002.1
2024-11-01,1001.9
2024-11-02,1021.1
2024-11-03,1015.5
2024-11-04,1024.5
