Dato,Lufttrykk (hPa)
2024-07-01,1003.0
2024-07-02,1002.9
2024-07-03,1000.5
2024-07-04,993.2
2024-07-05,991.8
2024-07-06,995.7
2024-07-07,995.1
2024-07-08,1011.0
2024-07-09,1020.7
2024-07-10,1017.1
2024-07-11,1011.8
2024-07-12,1016.6
2024-07-13,1015.8
2024-07-14,1010.7
2024-07-15,1006.6
2024-07-16,1010.5
2024-07-17,1012.0
2024-07-18,1018.0
2024-07-19,1019.5
2024-07-20,1013.7
2024-07-21,1006.9
2024-07-22,1010.1
2024-07-23,1014.9
2024-07-24,1017.4
2024-07-25,1008.8
2024-07-26,1003.3
2024-07-27,1010.4
2024-07-28,1017.8
2024-07-29,1020.9
2024-07-30,1012.8
2024-07-31,1013.5
2024-08-01,1014.9
2024-08-02,1013.5
2024-08-03,1006.8
2024-08-04,1007.2
2024-08-05,1010.2
2024-08-06,1008.7
2024-08-07,1005.4
2024-08-08,1003.7
2024-08-09,998.0
2024-08-10,996.9
2024-08-11,1008.7
2024-08-12,1016.6
2024-08-13,1010.8
2024-08-14,1009.6
2024-08-15,1002.5
2024-08-16,1003.2
2024-08-17,1002.3
2024-08-18,1002.2
2024-08-19,1007.7
2024-08-20,1002.8
2024-08-21,1001.9
2024-08-22,993.3
2024-08-23,990.7
2024-08-24,998.0
2024-08-25,997.2
2024-08-26,1003.7
2024-08-27,1013.8
2024-08-28,1014.9
2024-08-29,1011.0
2024-08-30,1014.1
2024-08-31,1027.4
2024-09-01,1028.3
2024-09-02,1018.9
2024-09-03,1012.9
2024-09-04,1020.6
2024-09-05,1027.8
2024-09-06,1024.1
2024-09-07,1019.4
2024-09-08,1009.9
2024-09-09,997.1
2024-09-10,991.5
2024-09-11,986.3
2024-09-12,998.7
2024-09-13,1017.8
2024-09-14,1023.3
2024-09-15,1018.1
2024-09-16,1024.6
2024-09-17,1029.7
2024-09-18,1033.8
2024-09-19,1032.1
2024-09-20,1032.3
2024-09-21,1031.1
2024-09-22,1020.6
2024-09-23,1008.8
2024-09-24,1003.2
2024-09-25,992.4
2024-09-26,994.9
2024-09-27,994.0
2024-09-28,1001.3
2024-09-29,1017.2
2024-09-30,1020.8
2024-10-01,1023.5
2024-10-02,1021.9
2024-10-03,1021.8
2024-10-04,1019.5
2024-10-05,1013.4
2024-10-06,1009.4
2024-10-07,1007.5
2024-10-08,1001.4
2024-10-09,991.3
2024-10-10,993.5
2024-10-11,997.9
2024-10-12,1004.8
2024-10-13,1004.9
2024-10-14,1015.2
2024-10-15,1018.4
2024-10-16,1016.9
2024-10-17,1007.9
2024-10-18,1011.0
2024-10-19,1011.1
2024-10-20,1005.9
2024-10-21,993.5
2024-10-22,1003.8
2024-10-23,1010.9
2024-10-24,1014.9
2024-10-25,1014.5
2024-10-26,1011.0
2024-10-27,1001.2
2024-10-28,1012.0
2024-10-29,1009.1
2024-10-30,1009.6
2024-10-31,1002.1
2024-11-01,1001.9
2024-11-02,1021.1
2024-11-03,1015.5
2024-11-04,1024.5
2024-11-05,1023.7
2024-11-06,1025.8
2024-11-07,1029.9
2024-11-08,1030.1
2024-11-09,1030.6
2024-11-10,1025.5
2024-11-11,1024.9
2024-11-12,1029.5
2024-11-13,1017.6
2024-11-14,1014.6
2024-11-15,999.2
2024-11-16,979.3
2024-11-17,984.1
2024-11-18,991.8
2024-11-19,996.6
2024-11-20,998.9
2024-11-21,996.9
2024-11-22,988.7
2024-11-23,998.8
2024-11-24,991.8
2024-11-25,981.8
2024-11-26,998.1
2024-11-27,1017.0
2024-11-28,1022.6
2024-11-29,1017.7
2024-11-30,1008.3
2024-12-01,999.2
2024-12-02,1005.3
2024-12-03,1020.4
2024-12-04,1021.7
2024-12-05,1007.0
2024-12-06,1001.9
2024-12-07,1008.6
2024-12-08,1029.3
2024-12-09,1039.1
2024-12-10,1031.8
2024-12-11,1032.4
2024-12-12,1030.1
2024-12-13,1014.1
2024-12-14,998.4
2024-12-15,989.7
2024-12-16,988.4
2024-12-17,1004.6
2024-12-18,984.9
2024-12-19,974.4
2024-12-20,994.6
2024-12-21,986.8
2024-12-22,978.7
2024-12-23,1004.0
2024-12-24,1005.5
2024-12-25,1010.0
2024-12-26,1020.9
2024-12-27,1025.8
2024-12-28,1013.3
2024-12-29,996.0
2024-12-30,1003.4
