Dato,Skydekke (oktas)
2024-07-01,4.7
2024-07-02,7.7
2024-07-03,7.0
2024-07-04,7.7
2024-07-05,6.7
2024-07-06,6.7
2024-07-07,7.7
2024-07-08,4.3
2024-07-09,2.3
2024-07-10,8.0
2024-07-11,6.7
2024-07-12,2.7
2024-07-13,6.0
2024-07-14,7.7
2024-07-15,6.3
2024-07-16,7.0
2024-07-17,8.0
2024-07-18,4.7
2024-07-19,4.0
2024-07-20,5.0
2024-07-21,5.0
2024-07-22,7.7
2024-07-23,4.7
2024-07-24,7.3
2024-07-25,2.0
2024-07-26,7.7
2024-07-27,5.0
2024-07-28,4.3
2024-07-29,4.3
2024-07-30,5.3
2024-07-31,2.3
2024-08-01,4.3
2024-08-02,2.0
2024-08-03,7.0
2024-08-04,7.0
2024-08-05,2.3
2024-08-06,4.7
2024-08-07,7.0
2024-08-08,6.3
2024-08-09,6.0
2024-08-10,6.3
2024-08-11,2.3
2024-08-12,2.3
2024-08-13,7.0
2024-08-14,7.3
2024-08-15,7.7
2024-08-16,1.3
2024-08-17,4.0
2024-08-18,6.3
2024-08-19,4.7
2024-08-20,8.0
2024-08-21,6.3
2024-08-22,7.7
2024-08-23,7.7
2024-08-24,6.7
2024-08-25,4.0
2024-08-26,6.0
2024-08-27,5.3
2024-08-28,7.3
2024-08-29,7.7
2024-08-30,3.0
2024-08-31,1.7
2024-09-01,3.0
2024-09-02,7.3
2024-09-03,8.0
2024-09-04,7.7
2024-09-05,1.0
2024-09-06,0.7
2024-09-07,5.3
2024-09-08,7.7
2024-09-09,7.7
2024-09-10,5.0
2024-09-11,5.3
2024-09-12,3.3
2024-09-13,2.0
2024-09-14,1.7
2024-09-15,5.0
2024-09-16,7.3
2024-09-17,4.7
2024-09-18,3.3
2024-09-19,0.0
2024-09-20,7.7
2024-09-21,8.0
2024-09-22,6.7
2024-09-23,7.3
2024-09-24,8.0
2024-09-25,5.0
2024-09-26,4.0
2024-09-27,6.0
2024-09-28,2.3
2024-09-29,4.3
2024-09-30,8.0
2024-10-01,5.7
2024-10-02,1.0
2024-10-03,2.0
2024-10-04,4.7
2024-10-05,7.0
2024-10-06,6.7
2024-10-07,7.7
2024-10-08,7.7
2024-10-09,8.0
2024-10-10,8.0
2024-10-11,4.0
2024-10-12,6.3
2024-10-13,6.0
2024-10-14,6.0
2024-10-15,1.7
2024-10-16,7.7
2024-10-17,8.0
2024-10-18,8.0
2024-10-19,8.0
2024-10-20,8.0
2024-10-21,4.3
2024-10-22,5.0
2024-10-23,5.3
2024-10-24,4.7
2024-10-25,7.0
2024-10-26,8.0
2024-10-27,4.0
2024-10-28,3.3
2024-10-29,7.0
2024-10-30,4.0
2024-10-31,5.3
2024-11-01,2.0
2024-11-02,4.7
2024-11-03,5.0
2024-11-04,4.0
2024-11-05,8.0
2024-11-06,8.0
2024-11-07,1.3
2024-11-08,8.0
2024-11-09,7.7
2024-11-10,7.3
2024-11-11,7.3
2024-11-12,7.3
2024-11-13,8.0
2024-11-14,6.7
2024-11-15,6.3
2024-11-16,2.0
2024-11-17,6.0
2024-11-18,3.0
2024-11-19,7.3
2024-11-20,4.7
2024-11-21,5.7
2024-11-22,3.7
2024-11-23,3.0
2024-11-24,8.0
2024-11-25,8.0
2024-11-26,5.7
2024-11-27,6.7
2024-11-28,1.0
2024-11-29,8.0
2024-11-30,7.0
2024-12-01,8.0
2024-12-02,8.0
2024-12-03,0.7
2024-12-04,5.0
2024-12-05,8.0
2024-12-06,8.0
2024-12-07,8.0
2024-12-08,5.3
2024-12-09,2.0
2024-12-10,7.0
2024-12-11,4.7
2024-12-12,6.0
2024-12-13,7.7
2024-12-14,3.0
2024-12-15,7.7
2024-12-16,2.3
2024-12-17,3.7
2024-12-18,8.0
2024-12-19,6.7
2024-12-20,4.3
2024-12-21,8.0
2024-12-22,6.0
2024-12-23,4.3
2024-12-24,8.0
2024-12-25,8.0
2024-12-26,8.0
2024-12-27,8.0
2024-12-28,8.0
2024-12-29,5.7
2024-12-30,5.3
